matchId,homeTeam,awayTeam,side,teamName,eventId,playerId,playerName,minute,second,x,y,period,type,outcomeType,qualifiers,length,angle,endX,endY
1903429,Man City,Nottingham Forest,home,Man City,3,,,0,0.0,0.0,0.0,FirstHalf,Start,Successful,,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,3,,,0,0.0,0.0,0.0,FirstHalf,Start,Successful,,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,4,334653.0,Nicolás Domínguez,0,0.0,50.0,50.0,FirstHalf,Pass,Successful,"Length, Angle, PassEndX, PassEndY, Zone",22.4,3.14,28.7,50.0
1903429,Man City,Nottingham Forest,away,Nottingham Forest,5,78386.0,Matz Sels,0,4.0,28.9,50.3,FirstHalf,Pass,Unsuccessful,"Zone, Longball, Length, PassEndY, PassEndX, Angle",48.6,0.49,69.8,83.8
1903429,Man City,Nottingham Forest,home,Man City,4,313171.0,Rúben Dias,0,8.0,28.3,11.5,FirstHalf,Clearance,Successful,"Angle, Length, Zone, PassEndX, PassEndY, Head",10.1,0.64,36.0,20.4
1903429,Man City,Nottingham Forest,away,Nottingham Forest,99,386969.0,Neco Williams,0,9.0,64.0,79.6,FirstHalf,Aerial,Successful,"Offensive, OppositeRelatedEvent, Zone",,,,
1903429,Man City,Nottingham Forest,home,Man City,8,315227.0,Erling Haaland,0,9.0,36.0,20.4,FirstHalf,Aerial,Unsuccessful,"Zone, Defensive, OppositeRelatedEvent",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,6,386969.0,Neco Williams,0,10.0,64.0,79.6,FirstHalf,Pass,Unsuccessful,"PassEndX, Length, HeadPass, Zone, Angle, PassEndY",17.6,6.14,80.6,75.8
1903429,Man City,Nottingham Forest,home,Man City,5,303139.0,Rodri,0,12.0,22.9,21.4,FirstHalf,BallRecovery,Successful,,,,,
1903429,Man City,Nottingham Forest,home,Man City,6,303139.0,Rodri,0,17.0,6.5,7.3,FirstHalf,BallTouch,Unsuccessful,Zone,,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,8,315543.0,Ola Aina,0,45.0,87.7,100.0,FirstHalf,Pass,Unsuccessful,"Angle, Zone, PassEndY, Length, PassEndX, Longball, ThrowIn",30.5,4.76,89.1,57.0
1903429,Man City,Nottingham Forest,home,Man City,9,315227.0,Erling Haaland,0,49.0,7.1,45.9,FirstHalf,Clearance,Successful,"Zone, PassEndY, Angle, PassEndX, Head, Length",19.0,5.82,23.3,33.3
1903429,Man City,Nottingham Forest,away,Nottingham Forest,9,402596.0,Elliot Anderson,0,49.0,81.8,61.8,FirstHalf,SavedShot,Successful,"BlockedX, FirstTouch, RightFoot, OutOfBoxCentre, ThrowinSetPiece, GoalMouthY, Zone, GoalMouthZ, OppositeRelatedEvent, BlockedY, LowCentre, Blocked",,,,
1903429,Man City,Nottingham Forest,home,Man City,10,357073.0,Antoine Semenyo,0,49.0,12.3,42.6,FirstHalf,Save,Successful,"OppositeRelatedEvent, OutfielderBlock, Zone",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,10,332867.0,Morgan Gibbs-White,0,51.0,84.0,50.9,FirstHalf,SavedShot,Successful,"GoalMouthY, ThrowinSetPiece, OppositeRelatedEvent, GoalMouthZ, BlockedX, Zone, LowCentre, BlockedY, Blocked, BoxCentre, LeftFoot",,,,
1903429,Man City,Nottingham Forest,home,Man City,11,357073.0,Antoine Semenyo,0,51.0,11.0,51.8,FirstHalf,Save,Successful,"Zone, OppositeRelatedEvent, OutfielderBlock",,,,
1903429,Man City,Nottingham Forest,home,Man City,432,136741.0,Bernardo Silva,0,52.0,13.0,53.2,FirstHalf,BallTouch,Successful,Zone,,,,
1903429,Man City,Nottingham Forest,home,Man City,12,355401.0,Rayan Aït-Nouri,0,54.0,15.6,57.7,FirstHalf,Clearance,Successful,"PassEndX, Angle, PassEndY, Length, Zone",34.5,0.63,42.2,87.4
1903429,Man City,Nottingham Forest,away,Nottingham Forest,11,443545.0,Jair Cunha,0,56.0,58.2,16.6,FirstHalf,Pass,Unsuccessful,"HeadPass, PassEndY, Angle, PassEndX, Zone, Length",11.0,6.01,68.3,12.3
1903429,Man City,Nottingham Forest,home,Man City,13,357073.0,Antoine Semenyo,0,59.0,31.7,87.7,FirstHalf,Aerial,Successful,"Zone, OppositeRelatedEvent, Defensive",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,12,332867.0,Morgan Gibbs-White,0,59.0,68.3,12.3,FirstHalf,Aerial,Unsuccessful,"Offensive, OppositeRelatedEvent, Zone",,,,
1903429,Man City,Nottingham Forest,home,Man City,14,357073.0,Antoine Semenyo,1,0.0,31.7,87.7,FirstHalf,Pass,Unsuccessful,"Angle, HeadPass, Length, PassEndY, Zone, PassEndX",16.6,5.93,46.5,79.2
1903429,Man City,Nottingham Forest,away,Nottingham Forest,13,443545.0,Jair Cunha,1,2.0,58.0,16.8,FirstHalf,Pass,Unsuccessful,"Length, HeadPass, PassEndY, Angle, PassEndX, Zone",17.1,0.12,74.2,19.8
1903429,Man City,Nottingham Forest,home,Man City,15,374631.0,Marc Guéhi,1,2.0,30.7,73.0,FirstHalf,Pass,Unsuccessful,"HeadPass, PassEndY, PassEndX, Angle, Zone, Length",7.6,0.43,37.3,77.7
1903429,Man City,Nottingham Forest,away,Nottingham Forest,14,332867.0,Morgan Gibbs-White,1,5.0,71.3,27.3,FirstHalf,Pass,Successful,"PassEndY, PassEndX, Length, Zone, Angle",25.1,5.95,93.9,15.1
1903429,Man City,Nottingham Forest,away,Nottingham Forest,15,397497.0,Igor Jesus,1,8.0,95.0,14.1,FirstHalf,Pass,Successful,"Zone, Angle, PassEndY, Length, PassEndX",8.3,3.46,87.5,10.3
1903429,Man City,Nottingham Forest,away,Nottingham Forest,16,334653.0,Nicolás Domínguez,1,10.0,90.5,9.9,FirstHalf,Pass,Unsuccessful,"Cross, RightFoot, PassEndY, Angle, Zone, Chipped, PassEndX, Length",25.4,1.58,90.2,47.3
1903429,Man City,Nottingham Forest,home,Man City,555,331254.0,Phil Foden,1,11.0,9.8,52.7,FirstHalf,Aerial,Successful,"Defensive, Zone, OppositeRelatedEvent",,,,
1903429,Man City,Nottingham Forest,away,Nottingham Forest,352,332867.0,Morgan Gibbs-White,1,12.0,90.2,47.3,FirstHalf,Aerial,Unsuccessful,"Offensive, OppositeRelatedEvent, Zone",,,,
1903429,Man City,Nottingham Forest,home,Man City,162,331254.0,Phil Foden,1,12.0,7.5,51.2,FirstHalf,BallTouch,Successful,Zone,,,,
1903429,Man City,Nottingham Forest,home,Man City,18,262515.0,Gianluigi Donnarumma,1,15.0,1.4,52.0,FirstHalf,KeeperPickup,Successful,,,,,
1903429,Man City,Nottingham Forest,home,Man City,20,262515.0,Gianluigi Donnarumma,1,34.0,2.9,49.9,FirstHalf,Pass,Successful,"Angle, Zone, PassEndY, Length, Longball, KeeperThrow, PassEndX",33.5,0.42,32.0,70.0
1903429,Man City,Nottingham Forest,home,Man City,21,374631.0,Marc Guéhi,1,35.0,32.0,70.0,FirstHalf,Pass,Successful,"PassEndX, Angle, Length, Zone, PassEndY",11.7,5.57,40.4,58.8
1903429,Man City,Nottingham Forest,home,Man City,22,136741.0,Bernardo Silva,1,37.0,40.4,58.8,FirstHalf,Pass,Successful,"PassEndX, PassEndY, LayOff, Angle, Zone, Length",26.0,3.54,17.6,43.9
1903429,Man City,Nottingham Forest,home,Man City,23,262515.0,Gianluigi Donnarumma,1,41.0,17.6,43.9,FirstHalf,Pass,Successful,"PassEndY, Zone, Angle, PassEndX, Length",20.4,5.74,34.2,28.3
1903429,Man City,Nottingham Forest,home,Man City,24,313171.0,Rúben Dias,1,44.0,38.8,24.6,FirstHalf,Pass,Successful,"Length, PassEndX, PassEndY, Zone, Angle",15.2,5.13,44.7,4.2
1903429,Man City,Nottingham Forest,home,Man City,25,394933.0,Matheus Nunes,1,47.0,44.7,4.2,FirstHalf,Pass,Successful,"Length, PassEndX, Zone, Angle, PassEndY",14.8,2.21,36.3,21.7
1903429,Man City,Nottingham Forest,home,Man City,26,313171.0,Rúben Dias,1,50.0,36.5,23.2,FirstHalf,Pass,Successful,"PassEndX, Angle, Length, PassEndY, Zone",22.6,1.44,39.3,56.2
1903429,Man City,Nottingham Forest,home,Man City,27,374631.0,Marc Guéhi,1,53.0,42.4,63.6,FirstHalf,Pass,Successful,"PassEndY, PassEndX, Angle, Length, Zone",22.2,0.90,55.5,89.2
1903429,Man City,Nottingham Forest,home,Man City,28,136741.0,Bernardo Silva,1,55.0,55.5,89.2,FirstHalf,Pass,Successful,"Zone, PassEndY, Angle, PassEndX, Length",9.9,4.95,57.7,75.1
1903429,Man City,Nottingham Forest,home,Man City,29,386153.0,Rayan Cherki,1,56.0,57.7,75.1,FirstHalf,Pass,Successful,"Angle, Length, PassEndY, PassEndX, Zone",16.7,2.57,44.3,88.3
1903429,Man City,Nottingham Forest,home,Man City,30,136741.0,Bernardo Silva,1,58.0,39.3,84.7,FirstHalf,Pass,Successful,"PassEndX, Angle, Longball, PassEndY, Length, Zone",36.1,4.82,43.1,31.9
1903429,Man City,Nottingham Forest,home,Man City,31,313171.0,Rúben Dias,2,10.0,59.8,25.3,FirstHalf,Pass,Successful,"Chipped, Angle, Length, PassEndX, Longball, PassEndY, Zone",34.2,1.58,59.6,75.6
1903429,Man City,Nottingham Forest,home,Man City,32,355401.0,Rayan Aït-Nouri,2,12.0,59.6,75.6,FirstHalf,Pass,Successful,"PassEndX, Length, Angle, Zone, PassEndY",14.5,1.12,65.6,94.8
1903429,Man City,Nottingham Forest,home,Man City,33,386153.0,Rayan Cherki,2,17.0,67.2,81.6,FirstHalf,Pass,Successful,"PassEndX, Length, PassEndY, Zone, Angle",8.1,4.07,62.6,72.1
1903429,Man City,Nottingham Forest,home,Man City,34,303139.0,Rodri,2,18.0,62.6,72.1,FirstHalf,Pass,Successful,"PassEndY, Angle, Zone, Length, PassEndX",11.1,3.64,53.3,64.3
