player_name,threat
Erling Haaland,1217.0
Antoine Semenyo,854.0
Bruno Borges Fernandes,437.0
Gabriel dos Santos Magalhães,199.0
Declan Rice,273.0
João Pedro Junqueira de Jesus,795.0
Jurriën Timber,352.0
Igor Thiago Nascimento Rodrigues,936.0
Harry Wilson,501.0
Jarrod Bowen,685.0
Marcos Senesi Barón,176.0
James Tarkowski,265.0
Marc Guéhi,339.0
Bruno Guimarães Rodriguez Moura,365.0
Bukayo Saka,762.0
James Garner,207.0
Carlos Henrique Casimiro,426.0
Elliot Anderson,232.0
Morgan Rogers,710.0
Virgil van Dijk,364.0
Trevoh Chalobah,154.0
David Raya Martín,0.0
Matheus Nunes,98.0
Enzo Fernández,618.0
Maxence Lacroix,217.0
Nico O'Reilly,356.0
Morgan Gibbs-White,588.0
Hugo Ekitiké,728.0
Ryan Gravenberch,151.0
Bryan Mbeumo,714.0
Jordan Pickford,2.0
Anton Stach,268.0
Adrien Truffert,100.0
Dominik Szoboszlai,297.0
Daniel Ballard,353.0
Martín Zubimendi Ibáñez,258.0
Jan Paul van Hecke,235.0
Dean Henderson,0.0
Nordi Mukiele,141.0
Kiernan Dewsbury-Hall,309.0
Tyrick Mitchell,187.0
Reece James,109.0
Malick Thiaw,350.0
Chris Richards,135.0
Rúben dos Santos Gato Alves Dias,96.0
Phil Foden,439.0
Ibrahima Konaté,96.0
Michael Keane,239.0
Matheus Santos Carneiro da Cunha,576.0
Robin Roefs,0.0
Daniel Muñoz Mejía,285.0
Dominic Calvert-Lewin,717.0
William Saliba,74.0
Marcus Tavernier,432.0
Enzo Le Fée,199.0
Alex Scott,267.0
Pedro Lomba Neto,427.0
Brenden Aaronson,424.0
Mateus Gonçalo Espanha Fernandes,105.0
Caoimhín Kelleher,0.0
Cody Gakpo,629.0
Gianluigi Donnarumma,0.0
Jaidon Anthony,458.0
Florian Wirtz,530.0
Iliman Ndiaye,401.0
Omar Alderete,231.0
Viktor Gyökeres,622.0
Matty Cash,188.0
Ollie Watkins,778.0
Đorđe Petrović,0.0
Robert Lynch Sánchez,0.0
Joachim Andersen,124.0
Rayan Cherki,365.0
